delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
156104,40538,13456,9378,2898,5842,3604,1821,61,35
232654,46745,3236,8800,5004,5195,3219,2785,54,37
925930,1173567,190487,50706,32663,28704,53192,30118,51,34
1859195,896276,151391,148202,46570,41109,67482,57876,47,29
641490,182470,41980,7895,12876,38073,18613,12533,38,38
224510,216440,14758,19299,6934,4984,8280,14719,37,21
246719,163648,86008,73133,20497,28608,3881,8056,50,38
868119,201908,18588,57188,74992,59315,28276,16365,47,60
591913,458671,73830,185195,49016,54441,48724,32701,54,51
718336,209341,65475,11621,34598,14294,22836,7669,60,63
224308,311517,176234,67383,30478,42649,57672,40702,57,61
2108053,1007458,20920,148109,292259,123213,37423,57690,53,54
455445,55652,2685,3945,1611,2597,1401,1787,38,47
612348,184473,17386,20617,32628,13050,11392,5490,34,48
44004,41660,1958,3213,577,1440,831,1381,16,38
640078,204078,105299,30207,16221,16943,15310,5258,30,27
661466,66762,19754,4822,14026,11105,11468,3236,41,40
254325,50351,103952,19595,34116,22030,11649,6194,60,50
1051549,106018,19484,19461,42889,10871,16357,5257,66,60
832664,359161,22113,14610,15410,16589,6170,3207,50,57
2064631,733718,185119,42029,39039,33490,58772,16694,50,44
2071387,570659,77469,117198,135952,71603,57927,20741,35,41
1103007,127996,100592,50507,1128,28495,13101,8635,48,44
1276889,312633,60601,18102,13461,24081,24461,21096,56,48
827794,313682,78401,42526,11370,14439,18927,4049,57,48
820363,45592,18220,18363,4280,6138,3041,1116,67,43
105307,26399,16585,4770,3030,2827,1283,423,63,38
440999,175736,13739,54644,31691,20712,20494,10394,66,43
1565499,215942,31782,31343,21559,10499,7185,4046,63,43
158346,180197,25042,28055,18328,36401,17159,6026,53,53
776515,48792,88153,15800,14266,14940,9283,9841,60,57
558986,176362,11986,66729,15034,19389,9455,12484,61,56
804697,97988,10828,12734,22058,13956,9012,12905,56,69
2155222,1038971,180681,75994,105006,22752,39560,39412,57,44
1091081,22883,10504,2769,10165,5192,1904,2298,44,50
37476,8342,1779,1759,1338,909,587,440,43,51
1318034,157401,14077,47929,11848,28406,16890,16323,50,51
1395110,293840,64895,32640,32637,23805,16152,5206,51,66
458698,46532,15196,29336,6587,12176,6979,4064,57,64
12514,9855,3480,5180,2844,1205,1030,542,64,61
1347175,667869,73908,88961,35867,22039,40265,14851,60,41
35619,94047,25455,1752,6754,7568,3189,3509,60,41
1559489,141481,32832,106314,40231,29786,96728,20382,60,40
425666,42760,9153,10286,2680,6524,2179,3290,54,44
932473,375190,32345,32255,13320,6210,8779,3413,53,38
1608624,50397,38402,11673,14252,5807,17165,4151,63,38
106000,35955,3284,2855,3133,1510,1368,561,48,24
572765,173438,46407,22468,25998,8389,9057,8943,47,13
1098952,168025,15532,14107,19385,8230,7585,3240,47,26
62425,48765,5831,8828,1395,6357,3465,1274,38,30
632738,83626,8167,9752,7552,4999,1095,1823,40,37
247421,96448,7657,14435,5300,2024,2800,1078,35,26
788773,99519,7706,27660,3166,6311,13904,3611,41,26
1926428,81166,39658,15645,7602,16555,13683,14536,48,29
1386047,1260209,47510,98941,170512,134814,91351,45126,41,40
266884,43811,4368,2357,4588,7889,1075,905,37,66
916221,146974,61688,16474,16153,11663,10575,8922,40,67
378184,73538,78106,11354,13359,15352,8554,7616,44,64
834423,293465,42772,30855,32602,14526,6978,4262,51,54
535012,319368,52401,27056,10444,16644,8090,10516,57,38
32318,47457,4908,727,836,1488,3170,1182,44,30
331094,76055,3918,1985,13536,5060,3970,2635,20,24
90455,174844,18123,23262,4278,7001,7519,5846,20,21
274392,52805,18676,5088,20283,6478,1574,1086,20,21
637684,59623,7473,8476,8125,5717,8238,2367,20,27
43815,101696,18060,4910,2937,4312,2433,3546,26,29
318334,741269,59451,6451,16389,29551,11527,12538,29,24
743153,110449,5047,8904,6627,6805,2122,3442,21,30
357578,953830,145319,45522,135312,84729,76361,43820,17,30
452193,219563,38216,31755,44315,6832,6632,2609,20,26
599356,69435,10967,17504,8597,13843,4165,1114,30,43
1335779,262307,37936,40733,23550,13095,16006,4548,40,40
743711,230619,33931,19015,33968,17696,15151,9688,41,37
208735,14871,6582,9087,6217,3494,2932,1294,50,56
639702,120114,56094,18090,6011,14207,13823,3443,56,48
33500,1479,4258,2329,1035,1372,286,202,74,64
83503,180857,1942,16493,7342,10767,5324,1362,67,63
528036,117893,38336,74526,7461,24831,8415,6931,67,61
1259225,28945,28218,16372,12225,8215,5881,9669,74,67
1062886,462306,49050,17088,27862,23334,20692,22431,50,51
470567,187326,2592,14277,2140,11350,3750,2597,48,53
106525,47916,3718,3205,7017,4640,3542,1748,30,51
484136,159580,57936,30479,15553,18285,31806,8556,24,43
614384,11317,2675,10524,8920,7603,3115,2433,37,67
163977,225777,59346,28453,21659,26249,14382,6603,48,74
240843,33678,4249,4939,12520,4166,2239,855,53,75
22449,31988,2704,4981,3564,1221,607,688,47,64
589724,182738,61832,34701,55415,21600,16752,14047,43,48
1045898,85843,4434,4860,5331,7670,5540,2659,34,48
109307,79528,8567,16806,3192,8405,3132,2978,37,44
1602163,71386,44633,29265,45891,11149,18786,7303,47,56
1439799,177678,60056,76589,67510,48113,16027,14858,50,64
919986,358980,31157,54870,19206,14100,13217,12748,57,53
573792,20987,3747,13409,7374,2273,1685,1351,64,48
259734,32822,24725,28226,5349,6666,2089,2045,70,48
616662,38317,11039,11918,6014,3055,2953,775,70,48
1573447,136900,17758,45392,35988,24796,20398,6202,67,47
885037,164297,80750,21596,12001,17515,8816,6010,77,54
810842,38992,3154,12527,4517,5568,2728,1565,70,61
554355,283455,103067,149072,17440,27834,19878,13726,66,54
1877076,123347,54302,44248,27204,52135,20018,14522,70,63
2089256,223649,40302,6958,12236,22428,7302,5139,60,64
244700,79541,22192,8903,4102,3543,1826,1445,61,51
61387,20744,2913,1080,1563,1305,874,485,47,51
560428,121584,7645,8048,6258,6766,1784,1280,34,34
560865,12258,5094,20945,5890,2207,4305,1866,51,29
1769297,548705,54001,278461,149437,80125,32784,43836,53,43
1301820,94408,49686,9094,20122,12896,14687,6561,63,48
173012,25893,3733,705,1966,5085,513,1530,63,63
509554,54516,32728,31731,31745,7869,6315,3424,57,64
561344,179751,22364,3428,8835,12706,6760,6746,44,60
618573,101057,1030,8073,4966,3957,3815,1282,27,51
1308453,93036,31398,3906,9257,9410,9650,3818,38,41
157111,95239,2632,1537,3563,1350,1667,1309,11,21
678617,142003,8301,24527,27242,10732,11596,5098,16,21
111112,38278,13066,1701,4765,5163,1751,1363,29,34
166355,25106,13597,3069,11396,3171,2563,590,34,34
1308594,240083,23612,67266,57850,43212,16656,12110,50,61
187784,11274,1392,3009,4852,2052,569,494,51,69
725032,115900,45602,11394,15367,22249,13674,8021,53,74
939079,71540,16960,32101,6278,12766,4865,2621,53,77
1828967,555149,76975,138577,85129,44067,14911,12290,54,67
300810,89286,21048,9102,12395,8024,2735,1891,56,60
1096588,104310,15048,16778,19110,12075,7329,4476,51,54
577972,196183,25155,45722,48891,14334,24153,13174,47,44
723876,31886,13425,4467,9586,7824,3577,2721,47,57
1593235,480156,75555,83432,27378,27568,23548,14112,47,51
53488,45158,21760,5899,12137,3532,3276,2112,53,47
1010096,48270,31910,11428,17794,8307,9328,3621,60,54
824158,92466,64014,36631,61385,29150,4727,15956,64,54
732162,247203,82819,13355,12080,14523,4263,3137,66,54
51919,56259,2272,8615,5000,1824,2125,3470,56,47
1059421,165690,69989,28064,17434,29724,5002,4731,54,48
131360,23977,8435,2678,3743,3083,1221,482,50,40
1160531,231777,68645,3121,23979,20251,18126,4955,47,44
71967,86307,17703,6102,5058,9023,4956,3207,50,57
1561139,97556,53717,30001,22693,9467,19165,13787,53,50
1525266,742210,752594,806294,935230,1206669,326872,342429,53,50
862756,62223,17983,11241,3701,1954,756,501,53,50
205156,38865,33820,26373,4677,3012,1715,381,66,37
915006,10408,5409,8391,10233,1650,795,1149,66,37
1484372,315018,47664,102640,76331,26846,27581,6899,66,37
1076653,771001,253882,255688,77953,202330,103123,94135,66,37
132751,16004,2723,3228,4830,1807,1135,646,66,37
989194,37369,10684,9643,5459,2846,1094,685,66,37
1629,912,805,746,450,350,150,98,66,37
876079,7829,12816,3078,17880,5500,6663,1939,66,37
925433,28705,10320,11391,9784,4023,8172,566,66,37
146640,41476,2222,10813,2997,4657,5809,1331,67,40
911250,152833,85327,23062,31688,39727,3936,2316,75,48
174643,68976,11212,3812,10963,72320,1944,2327,56,70
2093676,117407,20396,52720,52039,58643,55720,6546,43,94
549311,301311,61697,14297,64731,27369,30039,16753,40,88
291335,79452,8984,35559,17194,14157,19106,1194,38,80
941787,226866,55008,73131,50675,42648,31532,6767,51,61
2546761,629973,75706,68516,87144,49833,41410,7570,47,47
1611837,501815,69428,72768,73291,69446,27439,24900,48,50
1789950,26858,37389,10236,10200,22372,4968,726,48,50
1784690,65051,2441,957,5560,3018,342,431,48,50
692277,48798,68393,34181,22891,24657,7116,5335,48,50
851093,217399,53779,20038,41018,19665,5573,3473,44,47
228115,22550,554,7887,4786,2800,975,430,41,41
138884,66873,10485,13525,28256,23880,6907,1897,41,54
1162450,16222,10602,8662,3357,3055,2465,2647,41,54
28159,77586,7536,2317,2778,1775,745,237,35,37
338971,8726,9636,3480,5538,5150,521,757,43,50
1326714,118967,36599,8350,9782,7045,4122,1615,43,43
1239550,258341,29589,27533,15791,14359,1669,2157,43,26
95900,5259,2746,2925,2139,370,198,186,61,30
983391,254423,10997,27492,8456,11579,2291,4645,47,14
785167,16198,10668,69914,13092,13932,4692,2239,63,26
1249308,443149,22786,43461,75669,33527,17153,6850,60,29
66349,31234,2057,1513,3859,1193,1434,1002,40,29
96954,165810,28295,2906,4388,6971,5638,2354,43,27
66852,5260,1448,1586,509,288,129,84,30,14
1258047,85669,82541,42512,15294,8991,6064,6221,53,10
1212880,64283,26375,10409,21367,8385,4515,2662,66,20
1819804,361343,118895,87924,56768,23266,23179,7795,75,21
265205,21265,2482,3472,5285,1159,654,308,66,23
1902930,28356,4688,13614,9054,7354,1422,605,56,37
213822,164862,66610,8169,14293,5440,2686,826,56,23
1552861,988905,13664,30576,17782,17463,26844,6428,34,13
77339,40717,7210,965,1904,1206,887,191,34,8
41230,17297,18632,3100,645,3066,401,321,41,1
740351,384342,80138,41120,50093,7518,26589,6265,37,1
223040,68071,54825,20680,14013,2582,2226,1231,66,1
361441,81471,12486,13943,4258,8720,2445,994,69,8
62745,16223,3070,5587,3769,1123,679,275,61,3
214343,54888,64835,10253,24420,11490,7131,6978,74,21
344522,70852,27980,5501,11685,4693,3903,2780,64,30
360245,58220,11319,24731,27817,2622,3871,1250,69,20
205870,103323,56315,9432,22314,12297,4171,3856,70,24
207460,45998,18665,1377,22272,8391,7617,6754,60,29
422070,49013,7036,5426,7678,2830,4418,3311,53,27
1325044,398922,61932,20837,15128,36617,11951,4192,44,38
233996,118758,13848,24152,9228,9858,2388,1265,40,37
143228,38476,11888,9379,2086,2626,2063,485,47,26
601664,69016,38870,23322,9498,7858,2718,1314,57,27
359995,163626,16911,16597,3483,7246,6479,4202,60,21
1402734,233484,27927,22913,15220,8818,9005,6483,56,14
593662,59031,9736,7680,3661,1709,2959,1568,50,8
805431,58315,8470,38011,4719,17126,10292,3697,48,17
82026,49830,690,9477,2820,2345,1730,685,47,20
862959,11337,4305,388,3523,763,1691,733,50,23
234765,19774,4901,1957,2491,2686,1228,974,50,38
1223130,50661,30946,3526,11762,11631,5720,3650,48,37
1318359,68190,85122,10517,8219,9361,2684,2122,64,40
542849,14287,19585,17696,4210,4258,2777,3028,81,47
22881,9700,7061,2082,3797,1066,2559,841,90,41
110679,46274,1761,3591,3760,2517,737,3103,75,30
99613,42251,23549,17403,8089,3534,3575,4291,70,26
1764579,230558,17935,38741,78556,16098,16130,6215,50,23
179031,193560,61502,30408,16211,9767,4424,3403,47,17
1154004,67378,49361,16289,13358,8439,6770,8270,66,20
573560,109274,15634,14350,2344,7695,4762,9142,56,23
2079077,503883,106328,110856,98647,69224,15716,17092,61,27
1198654,152107,14281,7882,14172,9497,7409,2335,50,34
189482,43406,4260,8988,4241,3604,3912,1993,38,35
248809,71765,61413,11350,26722,6065,5457,8602,48,30
154326,127732,6141,2499,5162,3647,4717,4574,34,17
1837030,580329,47211,18415,39978,10170,6826,5290,30,4
480221,718441,128696,33606,29358,53592,11452,4520,29,4
264859,487437,71445,46179,43170,18069,13468,6931,17,1
245945,102801,35044,11863,9300,3499,7487,4888,35,1
990447,34079,13954,7273,4984,4073,3024,1595,50,14
2011101,495222,33936,71307,157759,31478,35953,25180,47,13
230888,13077,4296,4358,4989,1064,698,261,54,17
37762,215292,17782,1866,14439,5454,2191,1734,40,17
552147,48204,19989,3975,8030,4143,2797,1842,37,16
120308,363717,28468,8612,11412,8652,5693,2411,34,8
328120,189909,12898,12382,14438,9615,11812,8964,20,7
476894,53794,7511,4310,3990,1536,2039,1623,27,7
1019568,100455,57774,14403,27956,7149,10123,10047,30,3
967343,146380,6035,18533,10338,5198,6154,5817,35,7
117731,304039,6890,9354,7029,9217,9719,5118,26,1
159601,45953,5941,2606,2706,2402,2621,1308,26,10
149502,82901,11467,6319,8004,2686,2339,1652,16,4
140788,262369,40061,12200,19487,7182,4825,2679,17,3
183288,84444,10755,3091,8856,1037,741,538,27,1
377539,15153,14396,2141,3127,4341,4912,1279,43,7
1948337,151491,51541,25811,10458,9311,7775,4064,51,11
1227382,284187,21099,36872,14921,11154,4162,3815,51,13
787541,18027,5388,3698,3332,2340,4305,1210,61,35
1428294,126403,35028,12665,16848,14834,9110,3196,51,29
2624410,1097099,165965,60592,21193,50202,47147,19981,43,27
394550,81211,11712,13534,7027,6205,7623,3792,47,37
959663,98968,34700,8619,49938,50157,43451,28340,41,50
2330040,152785,48929,66739,25686,32469,46182,11542,48,53
1544884,571097,213310,64599,32608,42641,14983,17846,56,56
362908,37280,714,3983,6131,5066,4462,3687,47,63
133215,20356,3119,1128,4301,1970,1682,1126,44,47
806994,78220,29850,22097,23911,4245,7874,6832,43,35
790198,146896,23326,24528,23070,8637,12974,6058,38,34
605286,84314,11901,32511,21338,24417,11502,6455,48,38
1261758,375136,339699,141127,44251,59971,39950,39297,66,37
529642,93198,11540,8718,7933,7245,11464,8935,56,43
664299,853298,122644,37650,51128,33120,32647,10230,51,40
501911,159463,61088,26009,12561,5185,6198,6050,54,17
1029199,328379,46074,13784,23176,18970,30116,8818,38,14
507324,120472,69464,29948,29422,16616,11090,9080,50,16
87227,179398,2036,18043,2691,4081,1702,2279,44,11
709700,127406,31844,28079,15434,6473,3305,3935,43,16
2003308,128558,15124,28038,11746,10204,5298,2986,48,17
235192,29007,5998,2649,1206,1623,3258,1760,40,11
39936,6377,3494,959,568,801,1690,1746,56,24
57041,7795,581,925,1119,1340,2228,502,47,38
241473,27807,23200,4193,1274,2387,2286,1224,56,35
65753,18445,3939,4229,5567,1554,1230,1541,57,40
317633,213818,35794,17353,16787,9389,6006,2389,50,30
1077700,155971,6297,75102,23172,17788,22786,20319,60,26
703695,346462,71496,43882,24044,15343,4595,5347,50,21
620377,525613,11367,337322,68414,68534,66660,55745,54,24
367163,36681,2047,1722,3104,2070,2318,1739,47,29
206311,74936,10270,17844,5387,9150,3022,1219,44,30
203892,306063,121265,10728,7710,24615,26754,3417,47,38
172822,84046,6502,4161,4540,4462,1240,1740,34,34
66737,33985,18756,11040,4939,5210,5619,1698,53,37
71490,33170,2063,6051,4575,4045,2850,2634,48,38
758700,81038,82488,59035,14815,24505,22333,15147,57,43
528910,37410,8618,6368,17454,7717,4865,2384,64,56
597171,424483,35330,5243,12550,9530,6291,6198,44,43
462135,593079,135903,213415,146971,143883,57113,31178,51,47
2203618,64464,8500,21299,12511,15061,11603,7886,51,47
2384577,1327028,200809,196093,104098,85914,26807,43117,37,38
1928743,25853,7020,2682,12068,5103,4216,2737,37,37
455259,35606,15489,7810,4293,2977,1137,1831,37,37
259125,73215,7829,43905,23175,27115,7233,5626,51,61
313288,62110,9643,2242,15395,9752,2960,2200,41,57
177604,7630,2959,2582,568,573,185,259,48,57
63430,133467,10510,2496,1728,2119,1132,1301,40,35
245915,7494,2645,2791,1340,525,236,312,43,20
2788919,61582,56021,26773,14513,14694,10108,6117,61,17
38035,52059,3047,1586,3152,3114,972,1790,41,20
1280911,132744,2876,11354,20964,10840,6024,2387,41,37
801654,233770,8807,12532,5998,3905,2243,3301,23,26
651688,209410,70681,41570,22925,18941,3610,3246,16,20
1389861,1231354,194344,95019,160853,89426,24002,15937,24,20
1437038,591812,78579,95480,85288,35597,10807,14687,35,16
64609,35772,23553,960,1979,2559,869,1164,53,26
73736,11533,4108,1924,1030,2059,1066,444,53,34
895609,358809,146517,172020,128346,55121,8289,11199,63,37
236865,443141,60858,75639,73289,33895,8628,7518,63,40
858456,21674,4105,5245,5956,1523,952,451,63,40
455053,611071,286069,51164,28499,56212,51374,15919,61,43
2313123,450979,74519,96519,57244,27135,31591,27986,57,30
923978,252499,14274,108328,90394,52902,30761,6255,53,38
402632,691663,15356,16068,52641,24653,8157,13013,37,30
1359873,163781,30021,17604,30561,24255,11819,3613,27,38
956413,247509,115657,60771,54978,28217,22128,10196,34,43
390798,114138,5625,11617,9698,4096,3563,7487,24,27
479164,99998,62959,41878,27065,39848,17059,12648,50,44
1308238,31442,6370,19119,10017,12671,4164,2701,57,53
722035,47259,11898,10710,16719,4469,7999,3954,53,51
550048,48614,108018,110784,33991,42207,15024,11245,78,67
44082,2093,6977,1373,1681,1005,1354,550,88,61
93268,4540,238,2129,1681,859,1412,566,87,54
126602,32729,18666,7420,9399,6110,1710,2274,91,60
659080,467057,61740,79530,67775,24367,18010,16054,74,44
609816,80194,8024,9780,7554,3130,2148,2676,51,35
173094,12905,5996,5231,2874,2980,1019,1076,54,35
858152,75735,29782,15075,14704,6250,5740,9653,53,27
1761751,107886,63024,27632,49300,51399,9886,12068,60,48
1599757,276596,20129,36108,53146,23213,8358,3031,57,54
181731,75545,3159,3988,4837,3431,1950,1464,40,43
156220,80510,28316,10020,8427,4027,1308,958,38,38
133996,48341,3682,6050,15346,8021,3259,1081,26,30
1438830,174028,106353,49110,43895,35987,24858,13006,40,37
2315874,215238,46487,17776,41397,35201,18545,12688,50,48
1444966,59082,11309,3223,10495,7238,2689,2691,41,60
371204,80102,23326,15504,25987,10812,7026,13469,50,56
264337,39796,2309,1805,18469,5076,1686,2400,29,56
265904,54535,22183,9145,7161,4114,2436,1724,37,48
76485,27738,1740,1535,1408,2183,982,286,29,43
130117,108437,41949,2333,11145,4160,1509,1265,29,30
84995,75566,14056,16193,7250,4257,1364,2785,44,21
843137,61777,3193,948,3436,4650,2836,1221,26,23
720552,191271,16304,22001,30427,6531,8131,2369,30,13
1016894,169047,90912,60566,7078,13122,10638,1660,41,17
566618,208441,62280,40555,32863,31817,11578,9846,41,26
1609752,56044,30399,54743,30719,29310,12237,5069,64,38
560389,438489,14527,90577,93574,73784,24641,14663,63,54
1137362,35754,29335,13963,9904,2708,2908,2597,64,53
157519,27163,8137,5415,9025,6527,5747,2439,63,57
1577499,181204,74151,24137,11480,16821,13285,12009,60,47
810500,42836,24938,28876,11853,6326,5236,2471,77,38
149418,41831,28461,19089,8160,5013,7037,5402,75,44
193218,108615,1742,4592,9852,3127,2040,1024,57,24
114598,34413,5006,3898,3391,3545,917,655,50,27
812998,221832,7694,11028,24947,9591,10060,2491,26,21
1337136,75418,14013,22303,39690,12884,10555,3441,14,29
79427,113704,10956,1796,3046,3347,1790,2143,21,29
430245,23188,13264,13224,24307,7815,2228,3263,29,37
1318517,243901,11557,39464,29841,16433,10193,5578,38,40
1884485,152604,31476,56257,39126,21692,14144,4988,41,38
434540,87546,19942,12943,8506,3485,3709,951,53,38
792499,77483,61346,12706,12803,18472,6571,3854,56,37
971132,151052,97944,115199,36380,40722,21953,5365,74,41
391673,155659,25881,28688,28848,44017,9800,5880,69,51
551114,698731,28734,43111,9955,11259,17930,4046,57,43
872196,165069,14998,9037,11309,15078,4691,3486,41,40
2462603,1174311,356729,81673,30758,22955,21967,15116,30,17
1860497,505957,105184,48577,90932,36778,21312,4085,30,3
118923,34888,19064,3776,4242,5634,2711,1735,47,23
1017812,131713,13758,9214,15560,7327,4003,3749,48,17
42186,43385,6014,3178,1949,3742,1497,1097,43,35
671933,8478,21089,10370,9608,3297,4320,941,60,40
708912,69695,26104,13680,3544,9313,5800,2195,57,40
280603,52755,2587,9348,7679,7440,11513,5558,60,48
125032,32355,23949,11731,4443,6267,2690,1375,74,50
1179704,159499,32245,12383,14086,5517,8009,10150,56,38
2091021,24945,109728,3490,12590,12258,9578,5595,70,38
767182,136513,47757,6074,14358,11261,5781,10032,78,29
243493,152410,6923,41798,29517,26463,11156,8583,66,34
257695,50946,7523,3299,2718,4471,5152,1611,63,43
170046,30979,8637,2617,3219,2370,2117,2775,43,40
102873,19918,19369,3186,9438,2755,2942,4671,50,41
887614,66402,26828,16395,12280,8884,4198,4952,57,37
639806,19383,5106,4988,3213,3501,1748,1488,64,41
1516742,452084,3024,11181,8354,10821,13994,3226,44,30
2049106,719610,39307,23611,90874,53884,67047,20649,23,34
38383,19321,5774,1404,1045,3059,2698,1791,20,38
251381,60519,14686,7116,6674,2402,3664,1846,17,23
40089,16564,2419,2570,3387,1588,1766,2211,37,35
182396,148297,26369,23540,22548,16544,10080,3900,50,38
47708,66968,702,7723,2779,2368,3213,1720,40,23
1388488,440380,109456,34552,41133,8386,25466,7202,40,17
422934,65556,52041,30073,3692,11975,4093,1588,54,17
435306,99031,41626,4217,13450,6528,23140,5522,57,10
66039,7483,1161,2150,1723,637,728,937,66,16
1687105,594371,396586,7237,63331,65775,60355,30758,70,30
1168318,80632,74775,40892,41969,38468,9813,7150,69,43
1948681,37671,45549,46002,16145,31668,14663,4999,78,61
86987,58076,1105,4631,3766,4704,3046,1276,66,63
223847,30791,14908,1538,4337,5792,1639,663,64,69
1022630,139163,12203,53418,17637,23776,20750,17817,57,63
1755173,64277,30594,27762,5490,11210,6589,4723,54,53
1585837,604360,42415,60786,38347,30817,38197,41574,60,48
1503377,67231,21024,11849,18021,9791,9255,6046,57,47
155302,29933,21730,5873,10568,6404,3669,4706,63,44
1848649,304696,102521,137856,23233,42672,19897,11009,61,43
663882,36096,6362,9241,11008,8759,5445,2166,67,56
288914,17415,5089,3008,8938,6935,930,964,63,67
792119,397005,87408,15427,52999,21444,12120,16579,53,57
306190,107150,63877,6912,6907,6957,5445,3703,53,51
28677,28927,18791,10883,2930,3002,1103,1120,63,38
2273293,123759,29161,14986,103525,37854,14145,9600,57,35
115705,21106,900,3998,4676,2547,2302,540,56,44
2365228,516658,368307,62618,53483,35102,50230,42342,57,43
28719,8354,7371,1877,2479,4111,1528,675,56,61
1242483,543952,141517,101405,80880,49122,31959,22720,63,47
121772,16161,3600,1268,4292,2059,1641,841,66,48
100216,23098,6304,2969,6350,1314,601,446,57,48
2404147,509175,25276,42804,14497,19672,19787,17982,43,27
195063,24421,2771,2555,5439,1938,1337,1277,35,29
610287,43723,5490,11639,9345,5073,1222,987,38,26
1665642,141653,150113,20088,42442,22770,18052,13867,48,34
1684670,382865,22415,31170,24206,12467,14963,3624,48,30
1068582,159037,28625,102985,33231,16602,11150,9098,61,29
270908,103016,11304,16161,7266,9093,4119,7894,60,27
94554,39855,4869,10335,3360,3644,8177,2365,51,27
121439,423375,6269,13687,9945,8110,5227,6790,40,23
182095,461733,22922,14040,22184,24663,7588,3870,20,20
3496370,89504,33004,32701,25775,23211,17631,29880,26,27
98588,120620,64955,29182,9717,13700,12918,6802,34,27
84562,66663,4326,4875,5378,3584,2595,3006,41,38
2361001,624596,361208,53154,87253,65511,58025,16150,60,40
765141,97619,5435,1891,12494,9734,11009,2742,41,37
1238141,105666,3866,8056,2769,5021,3821,2506,24,30
1361407,200098,34768,57116,11504,24933,17023,3019,35,38
685583,149545,39286,13203,6465,5790,5417,2642,29,29
101123,46190,937,5677,1562,2834,1784,1194,37,24
71503,12604,2839,4514,5483,2167,566,787,48,35
132738,13963,3823,8963,3665,2865,1505,865,53,37
1302623,68726,99737,12615,24397,34077,3935,3454,61,56
1228200,592691,135588,81744,30496,27755,22936,13923,70,51
254578,32370,325,10134,8051,862,1421,1668,67,34
1125000,346648,61736,20971,77761,21183,11558,11981,57,24
341070,29855,19136,10376,3726,4391,4264,1380,56,14
454948,361553,31512,23692,37280,19188,9118,10404,48,17
190530,17540,3474,1994,1746,2389,389,656,48,35
217883,121044,18134,21437,19679,19455,5822,3196,50,44
611608,143967,10054,17511,10852,10314,4946,3080,37,43
625849,31420,9457,4296,6878,3793,1472,1987,43,50
800766,164383,11521,4892,8555,14319,10308,2925,35,44
231840,74392,9146,3153,2202,2214,4606,1920,29,29
326392,105221,6599,1593,8147,4092,1710,2064,23,23
673355,108537,35967,64971,9044,18683,14861,9109,30,26
601361,85045,18791,18216,8966,16917,4909,2117,43,34
603128,19527,12750,17339,17507,9509,7416,2775,56,54
1085467,74761,11497,27221,7811,8962,14247,4719,70,61
1518678,713463,105545,60524,22278,15447,6766,7649,61,44
782500,985738,30669,20836,17580,31068,12370,7502,43,27
258373,14219,16952,8885,5804,2010,1038,3763,48,14
81257,7199,1298,1146,1865,1290,1224,407,43,20
221386,131040,2684,39209,16695,6089,1732,3059,44,26
207411,457381,39145,106656,36457,27938,38485,10936,61,29
681526,163749,82999,44003,10952,16909,16403,6866,56,30
112857,63275,29007,9833,7039,2651,1742,2286,64,14
343708,11783,1925,4608,7691,1312,791,509,64,23
906834,33425,4395,6213,9478,17399,15906,5796,60,47
2224501,1017524,185169,84871,64791,47853,19692,24853,51,41
97135,84397,4924,14140,10184,2004,2393,1020,41,38
881906,178220,58959,16159,15902,11342,9661,11657,44,34
127712,63715,22182,1346,9542,2778,2436,1393,50,7
186935,20926,8211,8943,3229,4571,1784,815,56,17
50126,5736,4025,1112,529,708,1068,432,69,29
446987,22124,18572,10552,3622,8721,2067,4265,77,44
1530714,93919,4006,11305,8920,7229,6389,4749,69,53
191003,17915,2134,13705,4131,3557,2053,917,69,51
1643956,38607,29939,19834,7033,10693,5926,3232,70,57
1394465,195194,18448,23545,21562,6061,6191,2686,57,37
440067,65166,22452,1461,16614,10079,6211,5320,63,41
704792,22834,8061,13517,10095,4758,3484,2873,61,43
2041928,434142,239018,119014,91184,93608,42129,35047,57,43
1166354,69162,27739,36190,38890,15193,5346,11735,66,57
115816,9090,5799,2907,1752,1242,852,488,77,53
1881020,548465,133161,46965,27475,24496,62642,52008,69,40
333984,124237,24697,10952,26826,7391,6631,8464,63,29
1339907,346242,332064,245642,143933,204830,99675,127562,63,29
376914,86895,40942,47159,53759,53025,36298,24817,63,29
1923528,43842,62687,28727,53130,69990,32297,11709,63,29
481101,117263,120270,64921,58850,45820,53303,18345,63,29
1171703,378709,125012,130071,130311,36407,29901,22975,63,29
1935411,244108,33793,85065,46743,7007,14522,16757,63,29
216040,1837,460,570,584,452,317,123,63,29
172695,41570,4723,3875,9653,1120,1009,823,53,13
735928,37162,19386,5890,8753,5673,3044,1099,48,16
549649,609120,88815,194191,110012,81914,49262,48483,51,27
773314,290559,11388,14394,23567,17036,32656,8746,40,29
1181201,71880,128442,11001,21358,13001,7013,4091,60,41
320297,71809,2389,23278,6647,12570,4511,1170,54,44
149153,23553,2283,4555,2318,1005,1015,527,51,35
693947,18711,13169,39639,11550,13275,6870,4423,77,47
2053980,416383,66091,23896,49111,31075,23891,29658,56,47
2393956,161674,6186,13817,19208,14236,12515,6226,48,40
545659,118800,31247,27861,22497,10961,17942,7928,51,47
815937,36532,8471,22498,7293,5902,6708,5757,47,38
322537,100875,56336,52280,10053,4820,4513,7453,61,27
