delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
318877,178698,65980,143005,64345,49755,25769,3711,81,47
1362876,794329,120682,35195,36595,60274,42999,61471,81,47
408612,49388,28084,8036,4232,11180,5182,2744,81,47
1689432,583340,257534,426159,76416,58942,31805,26343,81,47
2023005,347387,55360,250435,101171,48780,25318,16597,78,47
2087499,319323,104083,125035,52257,37413,21571,17202,67,41
73180,2930,550,1306,2243,367,388,187,67,41
72071,77404,36684,32433,10525,8650,11130,1492,75,37
1075358,29087,9630,10623,13814,16906,5407,1720,75,37
450854,134764,23298,25566,14161,14907,3240,2648,75,37
3066355,63689,96807,26456,29658,18315,7060,4635,80,35
140409,22267,3313,11183,4214,4980,2295,432,80,35
230683,4062,1647,5240,2321,2937,5288,681,80,35
461848,94882,31805,16076,32999,8500,9696,2626,74,35
576161,30549,29807,31899,16824,9006,8501,3763,81,37
912104,50644,8407,44041,38542,17175,7344,1274,78,41
289921,21960,25143,44881,7303,10744,14469,1831,83,43
2118793,243851,172065,100441,83302,201981,46427,8627,88,51
375808,23464,33503,39064,20176,14117,5781,1841,88,54
625656,91588,5788,12418,7844,20519,10820,3181,75,54
515206,25963,7784,1969,8942,3513,1604,947,51,54
1163651,252288,51672,67315,218672,51571,21373,6747,43,50
2572186,153635,6978,166781,46210,26705,27626,4840,38,47
68398,13934,12528,4262,3913,3343,3225,888,57,41
506504,68082,17549,59243,18293,8463,7004,1874,70,40
935530,290339,66055,315722,73390,28927,18413,11341,87,34
415325,75092,37726,6955,16116,9493,2397,939,80,34
78114,51583,36804,16120,9467,6118,2149,3062,78,29
973643,178046,41351,27685,31853,35078,9859,5040,67,34
729558,150056,50049,147201,35098,37890,4462,5230,66,38
777609,337923,124931,68522,28081,29926,11848,4643,67,35
853566,91494,76574,85197,57018,38570,9886,7022,69,41
723736,80988,12584,23275,25387,7192,3451,1168,69,38
1284335,66609,21110,11616,11300,7366,2700,563,69,38
184049,131359,9859,16281,33610,9012,2464,2738,50,34
53959,19880,4063,3352,14665,1643,1191,693,41,35
148785,6312,13058,4013,793,4292,1254,267,48,35
913710,57918,6995,27303,22485,8968,11443,587,48,35
2218390,215567,31414,12424,34796,48844,21663,6598,40,40
1366635,178422,37401,105726,52790,45888,28103,12483,53,47
164087,39399,4093,21596,7165,13150,8370,1243,60,53
107688,35595,15148,31281,9380,14554,8580,1797,53,53
101075,11991,12580,2008,6440,1621,1321,633,70,47
288058,75110,14040,11486,8383,10855,3281,622,64,44
862878,429189,63950,30528,82028,34585,29566,2961,54,40
478478,31497,6312,6936,1923,5805,2135,966,44,38
2674388,1206734,369151,443064,191703,70877,52503,26647,41,35
453632,47229,65239,30981,13419,8535,7368,2432,57,30
197159,11320,6153,7681,1002,6334,2365,356,75,40
331298,55329,24313,24935,11350,5822,5035,2013,83,35
1473475,277909,106504,31580,53307,39235,23808,6387,80,40
601518,163365,5231,37128,13163,11285,4067,1169,60,40
350100,63101,46242,13077,9953,6955,5459,1178,61,30
1103544,267281,58358,101090,17620,33471,32099,5878,56,34
670750,154762,499,42775,11553,13595,8598,3506,51,30
1770474,303391,73214,107308,98247,32800,31883,16305,57,34
16831,16728,14808,7109,13201,7098,1760,1139,54,40
2060294,291082,22556,220405,53849,44628,29292,4747,57,38
1180244,127675,99769,48259,33071,30872,34230,5786,70,41
344229,83708,58615,9769,5662,7722,9020,1893,78,40
2079785,211817,134393,66600,91627,37250,82676,5097,78,37
521613,68406,33847,15671,16031,7733,7341,3388,77,37
2170997,236487,170209,152906,143084,31381,25600,3540,77,30
481842,410619,166400,77611,18841,51941,17587,6248,70,35
1568660,75962,8831,4444,5958,3527,4956,1735,56,27
179108,62065,5998,39427,10354,22590,5414,2026,54,35
584702,34401,4292,14136,17538,11086,11063,2360,44,43
200653,66679,36535,4208,12981,13752,6079,1136,41,47
627707,29761,6914,7341,5955,8165,18316,1114,50,54
815884,327936,4087,97626,86269,26237,26731,15426,41,48
187690,127161,29215,3625,18205,14727,4308,2243,40,43
316387,58684,7929,48176,20360,6882,3273,1791,44,38
1099942,416694,77146,127402,20549,52086,33140,3868,47,30
574010,756876,45067,87755,152167,142967,19222,3706,40,38
391327,157601,19427,18902,23653,8711,4129,999,40,35
2035458,187228,164860,43421,45041,35552,15003,7695,41,37
1093256,320312,47982,84359,133986,45390,18549,6898,37,38
1579475,496945,617171,33775,32681,42796,33977,9643,60,29
387575,52067,66525,41371,16319,10816,3696,1610,81,30
1046016,376393,29438,106910,42040,63391,27414,2410,70,34
690842,176121,7103,11377,5722,12844,3634,1204,61,29
820566,63462,18054,30171,7310,5788,5811,1565,54,34
134778,20551,644,1174,2300,1329,1611,498,23,30
345913,43729,46613,10698,25527,8399,5535,1843,34,29
233546,17696,2520,7984,2548,3775,1896,351,48,35
100364,94323,78260,25634,29457,11475,4707,859,50,35
75047,112770,54679,49298,22298,10897,3521,1026,75,34
120791,128481,13770,5613,13053,7732,3888,1185,54,29
152676,91602,26110,19000,18807,18174,3830,1342,53,27
474729,265808,163137,29301,124852,36735,32158,4724,47,30
119025,1536,3859,7548,2092,3904,1165,271,54,43
262993,22883,78778,11190,12521,7483,6565,715,84,47
1236752,338577,45819,72679,109823,18145,13192,5413,81,38
555006,67240,39094,11676,9455,7963,3224,1770,84,38
444136,385003,40354,76540,101138,41761,23964,6135,63,29
1087458,89362,63730,14720,6689,13725,8474,4290,51,29
971568,111743,46882,23095,15463,11098,9776,1227,60,34
245981,68953,43087,8821,33735,11478,9296,2253,56,35
1354382,32846,38226,21520,10530,8361,7875,2269,77,37
318751,71230,34767,12198,20948,10308,2853,2161,70,37
1266422,519754,140736,62749,53842,62919,54083,8243,66,40
1097319,181017,297180,99381,36960,54164,21017,5304,78,40
438426,182566,178182,49107,64251,40556,20177,3333,74,40
1245149,159168,51945,237278,45430,40726,42505,9218,84,40
294779,97060,27496,20776,23551,16241,6490,1114,84,41
1529689,223506,58123,88281,164830,42681,13315,4180,67,43
550394,96246,34663,18037,11259,8030,4050,3117,61,38
974495,76191,10616,6751,25228,9118,1655,1292,40,40
290576,270987,22296,14654,28343,10529,3699,2192,29,29
547829,66494,50952,9384,13024,7142,5472,956,38,24
1323683,184978,66959,39054,93096,30046,14359,7675,35,29
310527,35579,16324,27307,20229,7728,2362,1200,50,30
174239,73488,15281,37055,32177,5362,4044,1091,64,30
786602,82382,7735,7818,22222,16150,6945,1142,47,41
48097,9801,5556,2643,5360,4045,977,351,50,48
681797,98144,6472,4064,17548,9424,4130,1163,27,47
343700,143845,2072,3989,11672,4220,4609,1343,4,44
962021,306186,122916,35779,53916,59387,40899,7042,16,41
679380,77157,38846,5976,55588,14829,15087,1769,13,38
2062307,123712,67948,48381,132952,54517,84093,5098,30,44
342873,69800,4919,14344,13980,14904,14660,1869,48,57
655486,36071,25292,6148,17758,9822,17990,1783,51,57
955806,309266,45012,90163,24587,61973,34194,10050,53,60
175095,165818,18603,19413,12054,16697,9045,3849,48,53
343231,68234,16009,10214,15860,4360,11348,1190,51,43
427716,363987,216320,24001,121934,43534,20607,4880,50,38
103167,33256,1175,1844,1705,2346,363,481,35,30
186370,103437,3822,13438,6153,6330,1255,2024,30,27
1033053,75561,63977,87910,69154,39114,11427,6435,41,40
71720,2786,5559,2142,1971,1758,659,437,53,47
593489,46385,10296,19303,23118,5718,2414,1669,69,48
295917,73412,35709,3969,9364,6352,3749,766,81,48
597798,570654,173643,24110,48529,42271,6774,5981,69,40
35090,26716,1944,4759,2948,2268,1068,353,51,34
1179804,96052,84542,136001,28975,36416,12044,10163,64,37
467466,41170,2663,13399,3381,3330,3328,2586,63,37
851136,274195,77020,68502,125829,23618,14581,10948,64,37
2228492,322264,99227,61745,28126,63925,22281,6332,69,43
