25,2020.3.8.15.19.45,529989,17401,32859,32837,8064,3348,3209,2262,0,0
26,2020.3.8.15.19.46,628236,186061,9655,29563,36689,18346,3287,2869,0,0
27,2020.3.8.15.19.47,585038,135758,170069,86861,36140,61317,48453,33830,0,0
28,2020.3.8.15.19.48,1981239,56446,11490,9564,14349,12361,3085,6664,0,0
29,2020.3.8.15.19.49,849223,314660,132774,28398,46094,134687,133152,173527,0,0
30,2020.3.8.15.19.50,1642501,566935,398516,342054,265217,210013,24251,5462,0,0
31,2020.3.8.15.19.51,1739480,221828,59587,296221,69727,107248,27085,6606,0,0
32,2020.3.8.15.19.52,1327820,901964,191304,58667,47817,38847,15295,9728,0,0
33,2020.3.8.15.19.53,738721,37043,11654,8912,13603,8873,6744,2855,0,0
34,2020.3.8.15.19.54,688042,310845,191456,125621,52696,8680,6547,4139,0,0
35,2020.3.8.15.19.56,226075,84607,9807,41763,48464,14968,12343,1872,0,0
36,2020.3.8.15.19.57,648888,15858,2843,1968,5187,9510,7182,1199,0,0
37,2020.3.8.15.20.4,1235086,243765,304918,370621,264449,80426,49682,32366,0,0
38,2020.3.8.15.20.5,347285,12287,14361,6517,12880,11855,5488,1693,0,0
39,2020.3.8.15.20.6,336931,61047,22885,23801,24069,14192,3753,1855,0,0
40,2020.3.8.15.20.7,1000264,135897,11747,53333,67536,42332,21772,43005,0,0
41,2020.3.8.15.20.8,920171,205650,82680,18525,10585,20864,13306,8706,0,0
42,2020.3.8.15.20.15,942656,1156856,856560,440337,209134,129579,59137,38018,0,0
43,2020.3.8.15.20.16,905503,251554,92577,88364,114931,116750,42442,42449,0,0
44,2020.3.8.15.20.17,2441238,44506,16329,47092,61218,89886,42957,15829,0,0
45,2020.3.8.15.20.18,865419,25286,15703,4117,18273,7820,4361,5838,0,0
46,2020.3.8.15.20.19,2006003,293073,61624,134229,29558,27583,8543,22745,0,0
47,2020.3.8.15.20.31,1362952,61920,19529,8666,4714,2684,1048,636,0,0
48,2020.3.8.15.20.32,1097133,123391,267485,246171,162360,131479,80088,39591,0,0
49,2020.3.8.15.20.33,21987,9115,2970,2067,1234,705,222,148,0,0
50,2020.3.8.15.20.34,1586628,1113905,960928,758489,425030,81349,44250,28541,0,0
51,2020.3.8.15.20.35,526895,28057,4379,6238,19725,23289,1676,1403,0,0
52,2020.3.8.15.20.36,1003703,145516,11156,18151,8151,3999,2052,1528,0,0
53,2020.3.8.15.20.37,1837813,361157,16213,7614,48533,46857,5074,1016,0,0
54,2020.3.8.15.20.38,66947,94220,99540,77323,24719,7761,2698,882,0,0
55,2020.3.8.15.20.39,388163,10564,59461,50304,66216,44599,20998,4365,0,0
56,2020.3.8.15.20.40,568115,79000,24450,4629,3656,35090,1693,1394,0,0
57,2020.3.8.15.20.41,507756,369600,222736,128076,35762,7533,3984,6209,0,0
58,2020.3.8.15.20.42,783102,217517,11221,22194,25459,32579,12638,9171,0,0
59,2020.3.8.15.20.43,2275970,405240,276012,196675,179298,87091,13232,7717,0,0
60,2020.3.8.15.20.44,489984,6936,7397,3593,1271,1277,215,259,0,0
61,2020.3.8.15.20.45,2002682,235289,166975,103275,70905,16030,13919,9041,0,0
