,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
178,2020.3.8.16.5.44,1005447,41172,2043,3300,8324,4759,3392,602,51,66
179,2020.3.8.16.5.45,144524,16071,3329,887,2755,787,402,219,60,61
180,2020.3.8.16.5.46,1567348,212838,103584,72003,39261,12744,4717,6215,64,50
181,2020.3.8.16.5.47,525197,63165,3272,6541,5261,4013,1007,830,48,47
182,2020.3.8.16.5.48,115153,33184,3134,1831,1971,2375,1110,501,51,40
183,2020.3.8.16.5.49,62058,3906,8813,8138,4582,2819,2467,740,69,54
184,2020.3.8.16.5.50,7120,29304,5134,1087,1283,2239,287,270,57,61
185,2020.3.8.16.5.51,223657,70626,6569,6750,13912,3974,1738,1812,60,60
186,2020.3.8.16.5.52,139265,133209,19913,26268,17185,24300,4157,2739,66,67
187,2020.3.8.16.5.53,1047937,90686,4043,25895,5073,4266,2344,1361,51,53
188,2020.3.8.16.5.54,1637980,106392,27488,12864,23121,57111,5582,2604,53,74
189,2020.3.8.16.5.55,197886,27643,8328,6689,4063,6445,2199,1969,61,84
190,2020.3.8.16.5.56,277548,68635,28884,23037,19638,4090,13385,3830,67,66
191,2020.3.8.16.5.57,2309843,97887,70039,28027,7544,11060,5505,2531,77,70
192,2020.3.8.16.5.58,58365,30267,21162,1010,5279,1541,324,235,87,41
193,2020.3.8.16.5.59,60288,18665,13579,1662,1555,2614,1158,1335,91,35
194,2020.3.8.16.6.0,1778519,37294,37394,9188,15359,6309,5936,2207,94,43
195,2020.3.8.16.6.1,395621,58725,9449,36992,29096,14779,11531,7366,90,53
196,2020.3.8.16.6.2,208960,40122,8801,1039,2423,5943,1226,2145,80,67
197,2020.3.8.16.6.3,478403,188959,40755,23764,14619,8053,1234,402,74,57
198,2020.3.8.16.6.4,101379,25503,9203,13462,2496,4295,1904,2803,74,61
199,2020.3.8.16.6.5,193868,112638,6915,11617,16236,10243,5161,3873,61,53
200,2020.3.8.16.6.6,926332,355030,34346,23539,20873,11441,6288,3443,57,38
201,2020.3.8.16.6.7,213389,446843,133387,37195,20128,21046,7787,2626,60,40
202,2020.3.8.16.6.8,62431,23887,2243,4641,4431,1257,926,705,48,27
203,2020.3.8.16.6.9,129485,17372,4387,2786,2216,1420,1002,502,57,26
204,2020.3.8.16.6.10,63037,26875,5342,2036,3596,5356,2364,1733,60,44
205,2020.3.8.16.6.11,215742,45722,8445,16495,14154,3651,1390,1332,61,50
206,2020.3.8.16.6.12,5026,17434,1026,4914,5065,2121,1534,731,61,61
207,2020.3.8.16.6.13,208958,37674,11354,10330,10088,4811,1069,530,63,64
208,2020.3.8.16.6.14,145654,103517,31152,9073,23625,4722,1696,1313,64,48
209,2020.3.8.16.6.15,269183,66203,16310,24479,12319,8262,2696,1368,66,53
210,2020.3.8.16.6.16,2285932,206781,42239,38061,13536,16496,9099,4375,69,48
211,2020.3.8.16.6.17,89737,422244,26940,22483,23701,12011,7969,7162,57,34
212,2020.3.8.16.6.18,101648,23971,4858,4489,2904,4977,3249,1278,57,50
213,2020.3.8.16.6.19,878545,178364,28138,3773,17221,16725,4367,3139,48,50
214,2020.3.8.16.6.20,2324402,122388,9598,67064,23288,36364,6865,4870,50,61
215,2020.3.8.16.6.21,2120436,55355,14860,3190,5547,3021,5045,1192,56,67
216,2020.3.8.16.6.22,1481290,142997,35231,73494,29850,11109,6850,4353,63,54
217,2020.3.8.16.6.23,1395093,58619,54619,96683,36909,19742,3629,3222,83,54
218,2020.3.8.16.6.24,393227,96587,28722,5008,8690,11875,3082,2664,80,48
219,2020.3.8.16.6.25,90357,74320,6258,3751,5866,2421,1099,610,70,43
220,2020.3.8.16.6.26,38347,21235,8737,4598,1223,4308,1033,851,69,56
221,2020.3.8.16.6.27,147564,58112,24666,7877,13969,11288,1602,1042,57,60
222,2020.3.8.16.6.28,75005,12245,2898,194,1516,395,450,219,54,47
223,2020.3.8.16.6.29,636382,116408,2586,6806,23974,5207,1548,1728,50,50
224,2020.3.8.16.6.30,422051,63292,59092,19550,14290,3326,3290,1368,56,29
225,2020.3.8.16.6.31,309441,38510,11784,5743,2790,2818,1510,801,57,20
226,2020.3.8.16.6.32,1046397,146093,75064,11296,30898,8871,5275,6559,64,23
227,2020.3.8.16.6.33,612880,74465,9517,3821,5286,3346,1752,1610,74,23
228,2020.3.8.16.6.34,200681,26471,9847,9048,3058,4865,610,287,66,41
229,2020.3.8.16.6.35,250610,55409,19717,8399,3243,5427,1238,1241,66,43
230,2020.3.8.16.6.36,556216,49824,7836,19296,1646,3558,1496,1313,67,47
231,2020.3.8.16.6.37,357012,29009,4515,8441,9038,2888,1889,1124,75,51
232,2020.3.8.16.6.38,617046,471251,92777,7842,28262,19941,11476,12785,64,38
233,2020.3.8.16.6.39,2189448,90122,48737,29811,30169,25112,6313,3099,66,48
234,2020.3.8.16.6.40,642759,165425,15731,13662,29520,25808,2324,2696,54,61
235,2020.3.8.16.6.41,1278979,55236,17874,16907,21209,2859,2688,2110,57,53
236,2020.3.8.16.6.42,52110,32759,10464,3238,3332,2297,1532,1306,63,56
237,2020.3.8.16.6.43,91466,21652,18043,4821,5863,4693,4976,1938,66,54
238,2020.3.8.16.6.44,68335,23297,3891,3990,7369,4068,6442,2184,70,53
239,2020.3.8.16.6.45,15483,45814,3327,4655,5786,5628,2343,2240,60,64
240,2020.3.8.16.6.46,315758,21876,5643,25131,9687,4612,5745,1589,69,74
241,2020.3.8.16.6.47,804199,40581,18780,3773,9007,3310,1454,1022,64,63
242,2020.3.8.16.6.48,278943,307585,116741,21080,13041,12661,7875,6328,70,47
243,2020.3.8.16.6.49,90497,46466,6283,4550,2255,3262,2597,732,75,40
244,2020.3.8.16.6.50,106130,11062,10186,4553,1189,1124,648,585,77,30
245,2020.3.8.16.6.51,152157,19366,7915,2612,1248,1189,265,186,77,29
246,2020.3.8.16.6.52,100162,88267,17188,3988,6994,3721,1446,1734,69,30
247,2020.3.8.16.6.53,105658,52661,24594,8818,6381,4221,1388,2206,80,30
248,2020.3.8.16.6.54,55220,51287,13998,15794,8878,3658,1445,1142,70,30
249,2020.3.8.16.6.55,81949,32892,15517,1201,4821,3196,2405,444,69,37
250,2020.3.8.16.6.56,77146,33883,13570,12558,5036,3736,997,658,80,43
251,2020.3.8.16.6.57,1841285,79252,39107,13206,10160,11476,4571,2551,80,48
252,2020.3.8.16.6.58,863204,59205,14154,27599,54891,24673,3816,3384,75,67
253,2020.3.8.16.6.59,115290,45606,3480,7660,9780,6776,539,1080,64,77
254,2020.3.8.16.7.0,809680,140377,34039,7548,41902,36231,5726,2634,54,88
255,2020.3.8.16.7.1,317911,228929,61699,33976,40528,7516,9449,4645,50,75
256,2020.3.8.16.7.2,83813,37025,20105,3316,2872,4132,1167,1310,56,60
257,2020.3.8.16.7.3,704772,139886,19372,4706,20003,17792,2431,3965,54,57
258,2020.3.8.16.7.4,43206,4999,2959,802,678,505,564,734,64,44
259,2020.3.8.16.7.5,492015,27871,1609,2429,3898,591,400,94,56,41
260,2020.3.8.16.7.6,180678,30346,3834,3687,3754,4202,1016,765,47,47
261,2020.3.8.16.7.7,309137,74170,39761,12331,27076,17087,7969,2067,56,50
262,2020.3.8.16.7.8,1360090,84992,14675,4837,34863,8205,2983,3559,43,54
263,2020.3.8.16.7.9,135686,199832,11882,29950,27393,11255,4361,2974,47,64
264,2020.3.8.16.7.10,62143,99853,17877,5650,11831,22347,2466,4296,44,67
265,2020.3.8.16.7.11,43085,36076,38873,66536,4331,14894,3564,2344,60,64
266,2020.3.8.16.7.12,82938,47976,10435,10451,5628,5293,1452,1254,67,63
267,2020.3.8.16.7.13,18886,13169,10769,14783,6378,11365,2685,3587,81,84
