,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
397,2020.3.8.16.14.30,160383,189742,32792,38947,17614,15859,4855,1999,74,50
398,2020.3.8.16.14.31,652253,108499,58758,8475,9426,27236,4734,3189,75,57
399,2020.3.8.16.14.32,98370,85219,12156,9186,10683,3466,924,808,67,51
400,2020.3.8.16.14.33,74938,12610,12708,3532,2288,7888,2365,878,80,69
401,2020.3.8.16.14.34,626134,57359,45958,9595,22499,16688,9585,3037,90,78
402,2020.3.8.16.14.35,432412,64957,6820,6522,6996,1980,1892,869,70,61
403,2020.3.8.16.14.36,1258949,51763,7631,17778,20114,16746,8514,6229,78,78
404,2020.3.8.16.14.37,576214,130050,22899,17492,4322,5536,2219,2130,61,60
405,2020.3.8.16.14.38,701761,467613,118234,63332,16345,18820,3849,4878,53,47
406,2020.3.8.16.14.39,7503,14758,6466,6371,2381,2105,2729,818,75,56
407,2020.3.8.16.14.40,84564,27408,7615,5276,6030,2824,2777,1340,78,47
408,2020.3.8.16.14.41,115172,28980,10530,12000,16269,1664,1183,1186,88,47
409,2020.3.8.16.14.42,115594,44722,3591,5634,12922,4536,1321,1197,74,54
410,2020.3.8.16.14.43,10268,10050,2423,6864,2426,1446,1088,835,75,54
411,2020.3.8.16.14.44,1296884,65184,22655,23093,7463,9206,4234,2588,83,54
412,2020.3.8.16.14.45,985135,234830,50440,18036,26589,15925,3167,5048,70,57
413,2020.3.8.16.14.46,41148,70195,3466,8413,14166,10139,2467,3371,69,61
414,2020.3.8.16.14.47,1228223,139966,124903,29778,9810,24490,4476,3108,74,63
415,2020.3.8.16.14.48,142802,85295,7891,7579,7540,2463,1111,1049,51,51
416,2020.3.8.16.14.49,2033133,126744,29098,29702,22842,9460,6571,4993,57,51
417,2020.3.8.16.14.50,127104,7212,10789,4912,1282,2031,2207,1688,91,50
418,2020.3.8.16.14.51,856107,163730,3573,11259,38917,15310,4381,4090,50,50
419,2020.3.8.16.14.52,427935,39677,63619,51072,34579,8573,4254,5905,77,57
420,2020.3.8.16.14.53,49149,12352,1666,3546,5207,4099,1414,1264,64,70
421,2020.3.8.16.14.54,375651,12454,11148,2963,6876,5369,2168,734,51,78
422,2020.3.8.16.14.55,459303,21007,22541,15475,22092,9333,7048,3039,83,84
423,2020.3.8.16.14.56,132499,39626,463,6989,5227,4715,1047,1113,53,90
424,2020.3.8.16.14.57,444261,62947,2993,9797,5679,2282,1337,373,48,70
425,2020.3.8.16.14.58,744651,84920,8522,16137,13857,7526,2263,1950,38,61
426,2020.3.8.16.14.59,2550278,400386,125125,90880,33148,75142,9412,3366,38,61
427,2020.3.8.16.15.0,321148,8859,2105,636,1040,729,346,98,23,53
428,2020.3.8.16.15.1,163303,35409,6291,7184,6107,2659,2573,980,34,48
429,2020.3.8.16.15.2,743602,3261,19652,12820,9012,5354,2096,878,34,48
430,2020.3.8.16.15.3,1548867,495505,50986,72101,79615,25593,11119,9678,37,50
431,2020.3.8.16.15.4,345742,25533,19588,19277,16657,11067,11645,6288,50,57
432,2020.3.8.16.15.5,1804430,74374,41436,5083,20145,17200,4830,5320,56,64
433,2020.3.8.16.15.6,403041,52647,32531,35637,15447,12052,7798,1528,70,69
434,2020.3.8.16.15.7,2298431,107769,83332,50396,20003,35495,10382,5434,90,81
435,2020.3.8.16.15.8,1391274,37521,12368,38524,11264,11883,3521,2945,93,80
436,2020.3.8.16.15.9,1546975,41348,82379,57251,19705,11794,5169,3935,100,70
437,2020.3.8.16.15.10,428905,204386,34868,21766,12562,7190,3859,3875,91,61
438,2020.3.8.16.15.11,93345,20532,4733,11693,6909,4265,1711,1329,83,60
439,2020.3.8.16.15.12,259457,16162,9014,23684,7220,2635,4386,670,87,51
440,2020.3.8.16.15.13,76065,11291,2499,3280,2121,4518,763,359,64,64
441,2020.3.8.16.15.14,248294,61073,25628,17150,9557,8662,3730,1281,75,74
442,2020.3.8.16.15.15,318553,11862,2004,1027,4625,3226,1115,672,57,78
443,2020.3.8.16.15.16,290270,42105,10441,15573,8056,5270,8894,2615,44,81
444,2020.3.8.16.15.17,171885,77245,4153,3082,2112,3996,1515,939,27,66
445,2020.3.8.16.15.18,40255,58547,12864,14557,3810,1817,3331,491,24,54
446,2020.3.8.16.15.19,1353750,100082,14345,20068,10164,14883,2597,4394,34,50
447,2020.3.8.16.15.20,92917,52149,2746,3438,3241,2386,615,1862,14,44
448,2020.3.8.16.15.21,77887,57417,57687,2159,9253,5413,5130,5915,43,43
449,2020.3.8.16.15.22,170063,72197,116481,27500,43183,9563,5062,4205,54,50
450,2020.3.8.16.15.23,47744,7560,5655,2364,1621,372,374,261,69,37
451,2020.3.8.16.15.24,2019864,195492,3302,5666,37630,5990,11189,3106,64,34
452,2020.3.8.16.15.25,52815,51558,24543,3451,2545,3725,1667,904,57,34
453,2020.3.8.16.15.26,267403,116933,24127,11530,30471,9555,3982,4320,43,37
454,2020.3.8.16.15.27,97935,58018,4141,8972,2773,2828,1054,580,27,41
455,2020.3.8.16.15.28,1842921,270338,35191,41843,23128,12288,4025,1171,48,43
456,2020.3.8.16.15.29,482675,35431,7934,32582,22756,19161,7491,5599,48,57
457,2020.3.8.16.15.30,415467,62860,14963,4217,2805,3086,2356,641,50,53
458,2020.3.8.16.15.31,105974,43358,3694,3957,10983,2534,1851,689,47,54
459,2020.3.8.16.15.32,94946,178390,43777,12423,22758,4887,7727,11695,48,50
460,2020.3.8.16.15.33,156087,49986,19666,4915,6399,8164,1468,796,44,43
461,2020.3.8.16.15.34,50907,231194,2162,13945,9625,2499,1776,1870,29,30
462,2020.3.8.16.15.35,12648,782,5587,4629,4810,3957,1015,1411,51,48
463,2020.3.8.16.15.36,545762,63613,45184,23295,8622,11130,7139,4320,63,60
464,2020.3.8.16.15.37,238510,23035,22133,7459,3610,3501,2989,970,74,56
465,2020.3.8.16.15.38,198838,23263,1131,5221,4696,1754,1044,966,84,70
466,2020.3.8.16.15.39,527833,23238,9691,5698,14268,13887,3480,5042,74,70
467,2020.3.8.16.15.40,80186,66335,2629,3112,10825,3978,4064,2120,48,67
468,2020.3.8.16.15.41,226937,344208,3086,35086,10810,7875,18934,7232,24,57
469,2020.3.8.16.15.42,158636,21383,4755,11458,9031,2642,2862,1426,34,60
470,2020.3.8.16.15.43,86964,21953,8203,2728,5172,2469,1969,1154,34,47
471,2020.3.8.16.15.44,107734,48679,1739,5383,4143,2858,2533,1151,38,47
472,2020.3.8.16.15.45,1033521,183649,29965,58068,9772,15988,11330,5310,53,53
473,2020.3.8.16.15.46,81756,1301,831,522,1061,657,364,270,53,64
474,2020.3.8.16.15.47,135373,89782,5539,6186,8649,2727,1495,1304,41,56
475,2020.3.8.16.15.48,229201,88794,30814,27149,20615,6835,4063,2497,56,56
476,2020.3.8.16.15.49,280433,197473,22557,4850,12968,13437,6070,4590,43,56
477,2020.3.8.16.15.50,81103,33616,6475,10772,8001,10360,10778,3511,40,54
478,2020.3.8.16.15.51,87451,31338,1381,3543,6474,1188,541,747,41,57
479,2020.3.8.16.15.52,1080479,104428,39099,9495,29005,6704,3560,6319,37,56
480,2020.3.8.16.15.53,34924,27507,21913,14757,9010,12590,4773,2547,56,66
481,2020.3.8.16.15.54,184633,17510,2552,5943,2406,1828,1724,836,57,57
482,2020.3.8.16.15.55,671409,37558,30006,15130,6417,8042,5722,3782,78,66
483,2020.3.8.16.15.56,225079,81147,23967,31342,20923,22986,6910,1852,81,78
484,2020.3.8.16.15.57,95818,16280,11628,7229,3907,2868,965,1486,81,69
485,2020.3.8.16.15.58,185049,39320,934,5799,5047,3832,1175,1252,70,69
486,2020.3.8.16.15.59,22260,20607,11050,16438,6529,6443,4201,1954,69,74
487,2020.3.8.16.16.0,92876,88445,15891,18194,7147,4686,2341,1316,67,61
488,2020.3.8.16.16.1,1166448,54820,13401,21092,54204,24264,2291,4185,67,61
489,2020.3.8.16.16.2,51396,14931,1685,4864,2609,3003,1088,600,56,66
490,2020.3.8.16.16.3,391580,33435,8399,13730,4179,1978,1052,861,69,60
491,2020.3.8.16.16.4,1703462,344552,14369,8024,29429,24455,4757,2367,69,60
492,2020.3.8.16.16.5,844962,154746,13150,9417,20140,14082,7306,10119,51,54
493,2020.3.8.16.16.6,57630,29528,74330,5790,8347,24794,10431,6822,63,69
494,2020.3.8.16.16.7,77499,42454,1502,49889,8202,12610,5089,6971,74,69
495,2020.3.8.16.16.8,369152,72631,10169,6771,8998,2936,8986,6896,63,69
496,2020.3.8.16.16.9,151699,68039,4628,3091,8634,3608,3780,2240,61,64
497,2020.3.8.16.16.10,174329,46081,4316,8253,4071,2071,814,1618,47,48
498,2020.3.8.16.16.11,86318,15062,4982,4764,1563,5102,2478,648,40,51
499,2020.3.8.16.16.12,193527,51734,6879,11082,3703,4482,2167,865,44,54
500,2020.3.8.16.16.13,619533,364435,22294,32510,5928,9158,2308,1419,48,48
501,2020.3.8.16.16.14,54750,18678,2569,3449,3002,3743,1760,1111,47,60
502,2020.3.8.16.16.15,75906,23857,7384,3289,9718,2349,697,1222,41,50
503,2020.3.8.16.16.16,329050,104340,10454,84851,13739,8742,4921,6356,51,48
504,2020.3.8.16.16.17,310642,38643,3012,3206,5566,2415,2121,1333,50,56
505,2020.3.8.16.16.18,147316,32964,4704,8051,2026,6084,2934,1475,53,54
506,2020.3.8.16.16.19,112539,9242,6601,3304,3123,4602,2946,1052,60,64
507,2020.3.8.16.16.20,98184,17904,1436,1934,3523,2524,937,694,43,74
508,2020.3.8.16.16.21,190567,13409,4790,1277,15160,3374,4715,1905,47,83
509,2020.3.8.16.16.22,72507,73836,8259,12021,12704,12970,6791,9636,41,83
510,2020.3.8.16.16.23,158824,2705,2024,1126,1502,997,663,428,41,81
511,2020.3.8.16.16.24,1509403,662785,90812,29972,29830,30326,4996,5158,43,70
512,2020.3.8.16.16.25,213030,78216,32732,11555,27820,12999,2689,5180,50,67
513,2020.3.8.16.16.26,778086,85636,22938,14995,9537,3148,6817,4132,56,53
514,2020.3.8.16.16.27,1328548,178158,49551,32253,22394,13098,5400,7809,51,41
515,2020.3.8.16.16.28,193528,60480,10539,2178,12557,5966,1844,1628,51,48
516,2020.3.8.16.16.29,8888,9299,9062,9614,1743,2885,1090,1018,66,48
517,2020.3.8.16.16.30,81550,5082,1510,742,1923,749,404,289,63,60
518,2020.3.8.16.16.31,105810,15727,1151,4853,2275,1637,1741,827,61,63
519,2020.3.8.16.16.32,539026,265560,82741,13341,33314,15648,8294,4241,67,57
520,2020.3.8.16.16.33,20636,10586,5574,7086,3538,3581,1548,1279,60,61
521,2020.3.8.16.16.34,30778,22115,21557,5042,4625,2506,1460,1417,70,56
522,2020.3.8.16.16.35,50232,15514,2803,2808,5335,1809,479,167,69,56
523,2020.3.8.16.16.36,48138,7653,9579,8237,3976,4361,3388,418,83,69
524,2020.3.8.16.16.37,718114,173170,43379,13236,26942,10578,5164,7681,74,57
525,2020.3.8.16.16.38,168347,24702,5390,46634,20784,17090,5219,3666,70,70
526,2020.3.8.16.16.39,806570,84642,22844,4368,32475,12495,4578,5599,70,74
527,2020.3.8.16.16.40,2204365,113555,30750,19119,8317,9861,9088,4090,60,64
528,2020.3.8.16.16.41,793178,46365,22785,41971,9496,18190,4404,5799,70,77
529,2020.3.8.16.16.42,7994,24160,4496,2839,1221,1946,268,389,60,64
530,2020.3.8.16.16.43,35438,29563,8257,4724,7398,6672,1607,1126,64,67
531,2020.3.8.16.16.44,181607,25010,2238,6290,6498,6781,1890,2131,60,78
532,2020.3.8.16.16.45,201353,26217,15053,10582,13560,4641,2587,1799,56,74
533,2020.3.8.16.16.46,143529,146496,72947,102620,33580,14122,4968,4545,67,70
534,2020.3.8.16.16.47,1970115,135392,30225,21471,48067,19080,5251,5257,66,66
535,2020.3.8.16.16.48,448428,27076,8450,4600,2867,997,395,361,70,48
536,2020.3.8.16.16.49,60984,5606,1078,624,2072,1466,746,519,60,53
537,2020.3.8.16.16.50,193745,7493,4519,1447,1970,1026,195,294,54,57
538,2020.3.8.16.16.51,96541,17127,8363,20354,9603,4117,1686,1009,67,56
539,2020.3.8.16.16.52,1127569,289343,27772,26956,15543,12658,3605,3863,60,60
540,2020.3.8.16.16.53,53800,12998,1189,570,645,797,1128,242,54,48
541,2020.3.8.16.16.54,87745,7266,1457,6091,4217,2196,939,527,54,53
542,2020.3.8.16.16.55,30629,12872,8110,1289,6004,2514,734,701,48,54
543,2020.3.8.16.16.56,353320,97816,7036,21966,14555,5115,3336,2187,51,54
544,2020.3.8.16.16.57,69055,46061,10959,5128,6930,2441,1173,864,61,51
545,2020.3.8.16.16.58,52668,51762,37503,3321,24716,10461,6610,2452,60,50
546,2020.3.8.16.16.59,536467,36960,13190,22451,9140,4281,1726,844,63,44
547,2020.3.8.16.17.0,148721,37252,7830,2662,4028,1531,798,1431,63,43
548,2020.3.8.16.17.1,82601,14453,2214,1399,959,1057,336,228,60,48
549,2020.3.8.16.17.2,83346,119057,84326,11054,70787,6680,5355,5598,61,37
550,2020.3.8.16.17.3,2014295,193615,9428,15858,17055,10779,7738,13026,41,35
551,2020.3.8.16.17.4,600620,69645,63770,18531,15617,14799,13157,7396,54,44
552,2020.3.8.16.17.5,177775,94860,29393,12048,15389,14897,11563,11253,60,48
553,2020.3.8.16.17.6,695047,34880,9743,21876,40343,7895,5019,4414,56,61
554,2020.3.8.16.17.7,93391,24917,12960,3943,5688,2052,1716,1421,74,63
555,2020.3.8.16.17.8,434599,36020,8217,3928,4244,2466,1302,1477,61,57
556,2020.3.8.16.17.9,12201,45621,6073,45551,8213,12459,24791,5440,69,60
557,2020.3.8.16.17.10,22930,34062,7992,15420,8223,12043,6445,7201,69,64
558,2020.3.8.16.17.11,78766,55516,20275,9546,9907,3921,943,1390,66,63
559,2020.3.8.16.17.12,26839,25596,33719,16746,21317,16418,5113,5417,78,77
560,2020.3.8.16.17.13,64153,182170,11235,21293,6079,7975,9044,4515,63,63
561,2020.3.8.16.17.14,151020,25665,8239,10717,5408,2369,769,927,66,53
562,2020.3.8.16.17.15,184318,15886,8981,1505,4294,2208,1223,1496,67,57
563,2020.3.8.16.17.16,174839,66632,81723,21828,33085,17550,7159,4395,69,51
564,2020.3.8.16.17.17,298764,51704,42655,28388,15816,9090,6720,3058,87,56
565,2020.3.8.16.17.18,246282,2416,2651,7119,2025,3465,2946,982,94,70
566,2020.3.8.16.17.19,270633,14910,5621,5927,3352,3833,4332,3923,94,77
567,2020.3.8.16.17.20,414447,24396,15283,4242,13043,3400,1493,3179,90,75
568,2020.3.8.16.17.21,179751,45033,5678,6396,3709,4908,2500,572,75,77
569,2020.3.8.16.17.22,17389,25996,5040,6120,2745,4445,2056,2199,60,67
570,2020.3.8.16.17.23,191037,24785,5208,1256,1493,3827,1463,791,50,64
571,2020.3.8.16.17.24,48801,16102,12600,5936,2060,3356,3116,1774,56,66
572,2020.3.8.16.17.25,24815,12539,12217,5210,1677,3678,1734,750,74,69
573,2020.3.8.16.17.26,25979,18986,4016,4950,4412,5707,1844,1149,74,75
574,2020.3.8.16.17.27,56939,63889,13049,19562,14988,8332,4607,9412,80,74
575,2020.3.8.16.17.28,28331,46414,6752,16046,7670,10701,11790,4462,69,78
576,2020.3.8.16.17.29,337308,11945,2445,4112,8116,2732,3320,2015,56,78
577,2020.3.8.16.17.30,54487,14112,2901,3887,9261,1676,2007,166,54,69
578,2020.3.8.16.17.31,445752,83657,38361,3354,9867,6049,3772,1310,56,63
579,2020.3.8.16.17.32,1034688,55082,21597,29670,28772,18834,7963,4082,60,64
580,2020.3.8.16.17.33,262671,103476,16819,18583,15936,10211,8317,3641,60,57
581,2020.3.8.16.17.34,310941,59867,36131,18597,44376,29611,8057,18123,63,69
582,2020.3.8.16.17.35,84440,102877,55175,6399,7853,2273,681,580,67,57
583,2020.3.8.16.17.36,42929,10646,4886,4470,4670,2377,2348,1273,67,54
584,2020.3.8.16.17.37,148514,212596,15010,57194,12730,8320,5437,9480,69,48
585,2020.3.8.16.17.38,530384,9542,1305,26136,7891,8551,3738,3712,81,47
586,2020.3.8.16.17.39,72632,110744,43322,24366,33604,15697,7688,9251,77,64
587,2020.3.8.16.17.40,830754,148141,3413,6284,5598,3384,1227,893,53,48
588,2020.3.8.16.17.41,436833,51913,85715,9223,21783,11680,10355,8792,66,56
589,2020.3.8.16.17.42,54770,13840,1114,2150,1414,1193,242,355,44,44
590,2020.3.8.16.17.43,352835,78582,13329,12879,40799,9398,2564,5737,35,44
591,2020.3.8.16.17.44,3580,6799,4070,2407,6594,4724,896,1095,54,70
592,2020.3.8.16.17.45,22332,92450,36303,20668,14048,14514,10380,5076,44,74
593,2020.3.8.16.17.46,134756,14160,7227,9810,8410,3313,2698,1072,60,77
594,2020.3.8.16.17.47,105200,17009,6319,2245,1753,1734,1317,879,67,74
595,2020.3.8.16.17.48,1195462,42926,14437,6544,6719,6245,1207,1467,69,61
596,2020.3.8.16.17.49,403449,13420,3718,2918,4908,1974,1253,662,64,61
597,2020.3.8.16.17.50,2115982,59228,1261,3217,8837,11140,7077,4030,38,66
598,2020.3.8.16.17.51,304633,131417,9705,14483,2100,5061,4420,2598,27,60
599,2020.3.8.16.17.52,220138,182875,25824,21055,23753,8997,22388,5727,21,51
600,2020.3.8.16.17.53,192025,51821,5850,15488,5715,23182,18222,2232,17,61
601,2020.3.8.16.17.54,261163,5035,2362,16657,8002,2481,4396,2278,51,56
602,2020.3.8.16.17.55,76708,23127,13312,35855,15157,8218,4456,10784,74,69
603,2020.3.8.16.17.56,151761,14879,11986,760,7735,2471,1461,1683,83,78
604,2020.3.8.16.17.57,11898,15655,9335,1860,1727,4112,654,583,90,70
605,2020.3.8.16.17.58,53624,106359,53583,5704,17335,3919,6864,4390,78,57
606,2020.3.8.16.17.59,68907,32245,34717,23877,14208,6244,3756,5765,80,51
607,2020.3.8.16.18.0,116110,25939,12271,4972,5435,3660,2217,1049,80,51
608,2020.3.8.16.18.1,295030,29094,4594,11029,7280,6810,2480,1980,77,51
609,2020.3.8.16.18.2,81270,19188,23944,20516,48175,15317,12501,7920,78,74
610,2020.3.8.16.18.3,285938,13286,3982,2458,7952,6145,1951,1480,60,88
611,2020.3.8.16.18.4,1854693,112061,28839,30336,58878,13612,6341,5878,60,88
612,2020.3.8.16.18.5,852605,316097,20716,28828,36002,10102,8179,12427,44,77
613,2020.3.8.16.18.6,60236,23713,2771,6930,7690,6786,904,1906,41,78
614,2020.3.8.16.18.7,143679,14342,9370,7283,3548,2463,2026,1723,48,67
615,2020.3.8.16.18.8,690386,32780,9874,17178,6345,3172,1260,1378,57,51
616,2020.3.8.16.18.9,685859,100441,140328,9874,37911,20930,12410,14514,80,61
617,2020.3.8.16.18.10,120956,10857,5016,3007,1692,959,2079,1264,90,48
618,2020.3.8.16.18.11,941231,43444,14497,8284,18456,5246,7144,5637,78,48
619,2020.3.8.16.18.12,281694,98199,73975,58520,25409,17455,13026,7948,83,51
620,2020.3.8.16.18.13,619586,54675,19214,10019,6908,4992,1726,2008,75,48
621,2020.3.8.16.18.14,19777,11061,11134,4767,14699,3722,894,1746,74,57
622,2020.3.8.16.18.15,156156,73793,13943,17776,16139,10091,5780,4420,74,60
623,2020.3.8.16.18.16,158116,24252,9875,23650,11934,16975,7629,5460,69,74
624,2020.3.8.16.18.17,69222,40937,8956,45118,21342,19004,11850,9358,75,84
625,2020.3.8.16.18.18,267277,66997,6595,68441,23625,12379,4957,6307,78,81
626,2020.3.8.16.18.19,77489,28061,20364,14573,8190,8752,2138,1098,90,84
627,2020.3.8.16.18.20,375417,59701,9224,5141,4994,1371,902,548,77,57
628,2020.3.8.16.18.21,41389,28806,9247,6454,5800,5444,1436,861,69,53
629,2020.3.8.16.18.22,217196,18052,5216,16269,19168,25109,11557,3785,61,70
630,2020.3.8.16.18.23,357777,69434,5123,11416,5720,5600,2837,1370,47,64
631,2020.3.8.16.18.24,307672,91937,22319,22709,6454,8658,10125,9885,53,77
632,2020.3.8.16.18.25,79032,66299,39218,24162,31950,21692,15442,8446,56,78
633,2020.3.8.16.18.26,144714,34341,3062,8927,9187,8436,2415,3098,51,67
634,2020.3.8.16.18.27,458763,88996,2901,11660,22069,7172,4717,5501,44,69
635,2020.3.8.16.18.28,86843,21487,1518,3401,527,1303,877,397,38,67
636,2020.3.8.16.18.29,1502569,86292,26584,20657,30976,36487,23862,6420,30,70
637,2020.3.8.16.18.30,1006151,21446,5840,7786,3125,3241,1643,2294,41,64
638,2020.3.8.16.18.31,1228090,81921,1907,49390,5201,15959,10725,7035,56,67
639,2020.3.8.16.18.32,159738,49607,25459,17286,16365,6732,3741,1246,67,70
640,2020.3.8.16.18.33,57341,46910,3425,3737,2237,1083,451,309,60,48
641,2020.3.8.16.18.34,365635,33390,7029,5794,8251,2295,1143,1090,53,43
642,2020.3.8.16.18.35,802085,108525,39098,11882,6385,10431,3869,4849,51,38
643,2020.3.8.16.18.36,178371,170486,1980,8736,5173,3089,1985,4977,24,24
644,2020.3.8.16.18.37,68466,4050,114,1274,1483,1294,363,136,29,48
645,2020.3.8.16.18.38,559882,24758,37671,11290,10533,7493,4589,1490,43,54
646,2020.3.8.16.18.39,572641,52087,15282,18690,12962,17442,8838,4516,44,64
647,2020.3.8.16.18.40,145848,27327,4967,3434,3798,2979,698,1060,60,80
648,2020.3.8.16.18.41,127729,45773,5743,5142,7122,5305,3649,1135,60,69
649,2020.3.8.16.18.42,450930,47879,17468,51985,10880,9253,10175,5938,57,67
650,2020.3.8.16.18.43,1074639,149741,71404,79409,44244,13146,5369,8295,64,53
651,2020.3.8.16.18.44,446236,18298,5294,4083,3355,1890,388,372,64,53
652,2020.3.8.16.18.45,393446,161338,163718,13468,28255,30333,14632,6237,78,53
653,2020.3.8.16.18.46,1838759,58535,6480,22261,23893,8557,3981,3894,84,54
654,2020.3.8.16.18.47,210559,15898,870,3167,6888,3346,2597,393,64,61
655,2020.3.8.16.18.48,317794,61218,6132,2126,1590,3356,766,1579,43,63
656,2020.3.8.16.18.49,870555,75159,21145,18601,18017,17141,11906,5808,35,67
657,2020.3.8.16.18.50,1088568,97725,9205,14057,34571,8291,2520,3270,26,64
658,2020.3.8.16.18.51,74076,2382,4715,2696,2855,4063,2042,1874,44,74
659,2020.3.8.16.18.52,114623,17965,2505,3950,5099,8388,1427,2791,50,93
660,2020.3.8.16.18.53,58736,20400,4628,2050,1034,2916,383,303,48,90
661,2020.3.8.16.18.54,671419,29220,14449,25714,20928,39528,18770,9699,60,100
662,2020.3.8.16.18.55,122618,7947,4364,1059,1432,897,789,137,54,91
663,2020.3.8.16.18.56,2213647,29216,24344,12711,16616,13035,2198,3501,54,91
664,2020.3.8.16.18.57,125510,18835,3614,4032,7657,4392,1482,1193,56,83
665,2020.3.8.16.18.58,164640,30576,5388,750,1875,1267,865,435,50,74
666,2020.3.8.16.18.59,40415,18021,8421,6708,10938,5178,1931,1488,48,61
667,2020.3.8.16.19.0,303936,50937,10949,5131,7837,13131,5427,1471,40,69
668,2020.3.8.16.19.1,42261,42692,33282,20605,9847,16870,14676,6939,53,70
669,2020.3.8.16.19.2,78242,46777,8297,6666,2428,4282,5153,1409,60,78
670,2020.3.8.16.19.3,589468,301549,47763,16340,31544,16849,4049,8065,50,66
671,2020.3.8.16.19.4,153951,144099,11132,7972,20488,12328,6784,4162,43,60
672,2020.3.8.16.19.5,189153,93772,23317,7553,10131,10243,4417,2411,30,51
673,2020.3.8.16.19.6,145658,14481,8757,7154,3910,5495,1213,1628,43,60
674,2020.3.8.16.19.7,733823,135033,33842,5971,9558,4992,2097,1267,44,54
675,2020.3.8.16.19.8,451827,56176,54677,16435,29477,16488,6385,5353,66,60
676,2020.3.8.16.19.9,37918,28510,1779,24414,3057,12046,2964,4343,75,69
677,2020.3.8.16.19.10,464674,72898,25914,29625,19166,14927,7227,3675,69,64
678,2020.3.8.16.19.11,1163058,75804,18294,5742,26188,8740,4104,10634,67,75
679,2020.3.8.16.19.12,255769,68855,8975,15883,10410,8358,2679,3048,57,70
680,2020.3.8.16.19.13,856740,231674,24230,9688,24182,18216,5724,9379,41,61
681,2020.3.8.16.19.14,57651,77998,35205,18665,16900,29862,7378,3995,38,66
682,2020.3.8.16.19.15,94032,97329,2857,9249,37195,15923,11312,2795,26,70
683,2020.3.8.16.19.16,18964,52935,11848,45507,29319,9658,5275,5597,35,70
684,2020.3.8.16.19.17,127810,26173,1734,2520,2967,3661,5142,2434,35,77
685,2020.3.8.16.19.18,151941,181715,13633,10297,21790,7939,1432,2104,20,61
686,2020.3.8.16.19.19,382011,196946,49927,35201,12932,8005,4693,5178,40,47
687,2020.3.8.16.19.20,163212,33583,11970,3315,7396,7551,1303,1021,30,53
688,2020.3.8.16.19.21,279972,14351,4746,8799,3614,4967,2796,1329,50,56
689,2020.3.8.16.19.22,84407,168993,9707,16499,16893,13143,3542,4555,51,60
690,2020.3.8.16.19.23,1103311,76519,27139,91317,8698,11433,4875,6688,64,67
691,2020.3.8.16.19.24,23212,9349,7249,4429,6498,3136,2322,2332,70,66
692,2020.3.8.16.19.25,182778,34546,18746,13696,10919,9183,8174,6835,70,63
693,2020.3.8.16.19.26,271106,98458,66088,24868,19165,50404,18893,6412,88,77
694,2020.3.8.16.19.27,825557,395468,111667,57524,47562,21792,11762,14014,74,70
695,2020.3.8.16.19.28,178827,141791,57884,60061,34674,31627,9764,10383,74,69
696,2020.3.8.16.19.29,44225,43622,11312,7471,10028,13666,12239,6186,64,75
697,2020.3.8.16.19.30,631721,215759,49994,19697,15376,16777,18433,24711,56,61
698,2020.3.8.16.19.31,562103,165809,32720,49896,32297,48914,19318,19795,54,77
699,2020.3.8.16.19.32,343334,199958,28613,22511,3270,6202,6029,1886,44,60
700,2020.3.8.16.19.33,90869,33317,3767,1607,7181,1956,3371,777,37,48
701,2020.3.8.16.19.34,213754,72068,8843,3716,4893,5639,2954,1968,29,48
702,2020.3.8.16.19.35,123318,18318,2920,2375,1788,1550,2586,1536,26,40
703,2020.3.8.16.19.36,193680,13829,3595,3881,10838,1782,1035,531,27,50
704,2020.3.8.16.19.37,181814,145951,74392,5118,22360,13676,7958,4356,43,51
705,2020.3.8.16.19.38,33968,23749,3743,1108,2297,524,589,184,47,41
706,2020.3.8.16.19.39,232081,393198,42912,13970,30735,11982,12613,6423,38,34
707,2020.3.8.16.19.40,216079,16593,66754,52277,26949,11766,2766,3531,57,34
708,2020.3.8.16.19.41,231204,56091,5394,13428,12605,8309,2312,5637,51,38
709,2020.3.8.16.19.42,88284,14687,1609,460,1926,798,937,219,47,44
710,2020.3.8.16.19.43,119484,87453,2813,21480,8855,11139,2134,1289,51,56
711,2020.3.8.16.19.44,588096,19760,3862,6158,3504,3066,1008,1285,34,57
712,2020.3.8.16.19.45,1174462,113724,56478,14843,32639,6632,6132,5202,40,48
713,2020.3.8.16.19.46,108386,13540,3350,599,3453,6571,2735,713,43,66
714,2020.3.8.16.19.47,29243,11135,4372,8089,2286,6929,1675,1501,54,77
715,2020.3.8.16.19.48,223038,36220,3698,10435,3864,1182,878,1145,53,64
716,2020.3.8.16.19.49,514380,64285,25765,15513,8360,9013,8444,6702,54,74
717,2020.3.8.16.19.50,66339,4446,8720,1862,5824,4619,2350,634,69,70
718,2020.3.8.16.19.51,54825,27075,13801,12040,5706,20671,9492,13388,66,75
719,2020.3.8.16.19.52,92424,19310,12310,2554,3136,2557,1071,2000,74,84
720,2020.3.8.16.19.53,107989,22287,10601,5883,2878,3938,1514,1700,74,87
721,2020.3.8.16.19.54,37838,14971,1241,903,817,804,505,432,54,67
722,2020.3.8.16.19.55,84798,22034,34092,14398,18228,12795,9925,6919,63,60
